Features,Logistic Regression,XGBoost,Random Forest,Random Forest - Top 10,Random Forest - Top 20,Random Forest - Top 30
DURATION_OF_STAY,0.000281503021209,0.0527027025819,0.0459282215662,0.0575285097948,0.0377757396422,0.0300124541754
ELECTIVE,0.102581956785,0.000450450461358,0.00375900783241,,,
EMERGENCY,-0.00129084085308,0.000300300307572,0.00586168002014,,,
NEWBORN,-0.786399546467,0.0108108110726,0.0134561508054,,0.0906349239142,0.0812579919555
URGENT,0.324688239864,0.0,0.00171749501766,,,
CLINIC REFERRAL/PREMATURE,-0.421523493889,0.0129129132256,0.00582642819639,,,
EMERGENCY ROOM ADMIT,0.0400372873693,0.0145645644516,0.00818646650412,,,
Other Admission Location,0.1011615706,0.0,0.00075622634463,,,
PHYS REFERRAL/NORMAL DELI,-0.0321503948103,0.00420420430601,0.00400539638011,,,
TRANSFER FROM HOSP/EXTRAM,-0.238079890663,0.000150150153786,0.00449382756749,,,
DISC-TRAN CANCER/CHLDRN H,0.282155402386,0.0010510510765,0.00143950803821,,,
DISCH-TRAN TO PSYCH HOSP,-0.42590870482,0.0,0.00052401736547,,,
HOME,-0.0145630421283,0.000300300307572,0.00634773680571,,,
HOME HEALTH CARE,-0.0016800243068,0.00375375384465,0.00681540146024,,,
HOSPICE-HOME,-2.38122000418,0.0220720712095,0.001524662773,,,
HOSPICE-MEDICAL FACILITY,-3.43250856886,0.014714715071,0.000418446818091,,,
LEFT AGAINST MEDICAL ADVI,0.103488279619,0.000300300307572,0.000504560645611,,,
LONG TERM CARE HOSPITAL,0.0980161030995,0.0,0.00171734411504,,,
Other Discharge Location,0.202852191882,0.0,0.00033514133149,,,
REHAB/DISTINCT PART HOSP,0.0857536290688,0.000600600615144,0.00460426041711,,,
SHORT TERM HOSPITAL,0.595766221042,0.01591591537,0.00221455040911,,,
SNF,-0.0303762626195,0.000150150153786,0.0052881101289,,,
Government,0.0,0.0,0.00214653645644,,,
Medicaid,0.11102409536,0.00165165169165,0.00379265040318,,,
Medicare,0.114098911458,0.0111111113802,0.00999126007889,,,0.0139026816061
Private,-0.0905888291142,0.0106606604531,0.0087422063413,,,
Self Pay,-0.785088368529,0.00600600615144,0.00110236465224,,,
ASIAN,0.191498417832,0.00195195199922,0.00215736807681,,,
BLACK/AFRICAN AMERICAN,0.263496271946,0.010510510765,0.00413997707681,,,
HISPANIC OR LATINO,0.0170724105522,0.0,0.00210249487281,,,
Other Ethnicity,-0.104235996836,0.00120120123029,0.00312049026451,,,
UNKNOWN/NOT SPECIFIED,-1.07555698034,0.0369369387627,0.0107641321875,,0.0600065773659,0.0569121148914
WHITE,-0.0190602812246,0.00300300307572,0.00751390528369,,,
DURATION_IN_ER,0.011566493637,0.0354354344308,0.0277326300238,0.0635499235936,0.0296057780248,0.0219408569602
Evaluation and management,-0.0178616424076,0.00510510522872,0.0230390964047,,0.0144913845194,0.0109137367424
Medicine,0.066563442502,0.00765765784308,0.0119531011761,,0.00446062927575,0.00372858735848
Surgery,-0.131597626285,0.00885885860771,0.00924894263451,,,0.00451229072653
Radiology,0.111848403213,0.0,0.00147074590076,,,
Anesthesia,-0.00537431060167,0.0,0.000445060642792,,,
Pathology and laboratory,0.402502075759,0.0,3.85945983768e-05,,,
Emerging technology,0.244914593344,0.0,2.57905723322e-05,,,
ICU,0.00411339287157,0.00420420430601,0.0236018705065,0.0262785399355,0.00924166221246,0.00663080404834
Resp,-0.0337029602791,0.00660660676658,0.0109923692421,,0.00344383646745,0.00244645845238
Hospital inpatient services,0.00679158897558,0.0102102104574,0.0213580581148,,0.00964467095908,0.00787469133348
Pulmonary,-0.0163595792663,0.00345345353708,0.0110304975589,,0.00341359796678,0.00250222379064
Critical care services,-0.010858766886,0.00255255261436,0.0140206103452,,0.00512250635164,0.00363420207643
Consultations,0.0474212143329,0.00390390399843,0.00968270311626,,,0.0017976821944
Cardiovascular system,0.0891913322228,0.00510510522872,0.00559370210429,,,
Respiratory system,0.174853489648,0.0129129132256,0.00351753514458,,,
Other Subsection Header,-0.0395269380088,0.00075075076893,0.00409820414329,,,
Musculoskeletal system,0.0809578020088,0.00810810830444,0.00225329907552,,,
Dialysis,-0.0379064433754,0.0108108110726,0.00241170252464,,,
