trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.95}",35,0,-210.3334655360706,"{0: 19, 1: 5, 2: 7, 3: 1, 4: 3}",0
2,False,"{'a': 0.6, 'e': 1.9}",25,10,-41.75673689630725,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 0}",1
3,False,"{'a': 0.6, 'e': 1.8499999999999999}",35,0,-308.56089325169046,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 5}",0
4,False,"{'a': 0.6, 'e': 1.7999999999999998}",20,0,-93.83360342032542,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.6, 'e': 1.7499999999999998}",25,0,-180.32691729614444,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.6, 'e': 1.6999999999999997}",25,0,-184.75144743563067,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
7,False,"{'a': 0.6, 'e': 1.6499999999999997}",20,0,-103.46377158164593,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.6, 'e': 1.5999999999999996}",20,0,-124.92267154770661,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.6, 'e': 1.5499999999999996}",30,0,-254.95450573825107,"{0: 16, 1: 3, 2: 4, 3: 3, 4: 4}",0
10,False,"{'a': 0.6, 'e': 1.4999999999999996}",25,0,-144.69001666597433,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.6, 'e': 1.4499999999999995}",25,0,-216.20034390970523,"{0: 10, 1: 3, 2: 9, 3: 0, 4: 3}",0
12,False,"{'a': 0.6, 'e': 1.3999999999999995}",20,0,-148.74092069203496,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.6, 'e': 1.3499999999999994}",25,0,-291.6925225862719,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 5}",0
14,False,"{'a': 0.6, 'e': 1.2999999999999994}",20,0,-45.61617968623932,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.6, 'e': 1.2499999999999993}",35,0,-200.9368229862652,"{0: 21, 1: 3, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.6, 'e': 1.1999999999999993}",25,0,-113.85551974667595,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.6, 'e': 1.1499999999999992}",20,0,-119.86827891103886,"{0: 9, 1: 7, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.6, 'e': 1.0999999999999992}",20,0,-182.37790095015743,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
19,False,"{'a': 0.6, 'e': 1.0499999999999992}",30,7,-122.5520317379591,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 1}",1
20,False,"{'a': 0.6, 'e': 0.9999999999999991}",20,0,-78.27310866521373,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.6, 'e': 0.9499999999999991}",25,0,-162.558669533638,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
22,False,"{'a': 0.6, 'e': 0.899999999999999}",20,0,-95.29791378666441,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.6, 'e': 0.849999999999999}",20,0,-48.198706234636155,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.6, 'e': 0.7999999999999989}",35,0,-143.2886448211191,"{0: 20, 1: 5, 2: 8, 3: 1, 4: 1}",0
25,False,"{'a': 0.6, 'e': 0.7499999999999989}",25,8,-46.87846158796351,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
26,False,"{'a': 0.6, 'e': 0.6999999999999988}",30,19,-44.439903648837884,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
27,False,"{'a': 0.6, 'e': 0.6499999999999988}",25,0,-157.46215819011198,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
28,False,"{'a': 0.6, 'e': 0.5999999999999988}",30,24,11.179609395778904,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.6, 'e': 0.5499999999999987}",25,12,9.67992311709211,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.6, 'e': 0.4999999999999987}",25,13,-16.312288409044307,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.6, 'e': 0.44999999999999873}",25,14,-3.1107238953532237,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.6, 'e': 0.39999999999999875}",20,13,-39.21721613863225,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.6, 'e': 0.34999999999999876}",25,7,-20.49768055928698,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
34,False,"{'a': 0.6, 'e': 0.29999999999999877}",30,7,-25.560645894906898,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 0}",1
35,False,"{'a': 0.6, 'e': 0.24999999999999878}",30,0,32.27508864056115,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
36,False,"{'a': 0.6, 'e': 0.1999999999999988}",35,25,21.206188477320953,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.6, 'e': 0.1499999999999988}",25,0,16.710917887056866,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
38,False,"{'a': 0.6, 'e': 0.0999999999999988}",20,10,15.838702352017968,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.6, 'e': 0.049999999999998795}",30,13,35.77870611077533,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,10,23.88958405071252,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,13,23.001905647385076,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,16,9.870118112435382,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,11,18.453896183787034,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,16,8.208285174326885,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,23.57423345448405,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,3,35.63989141648749,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,13.641770444628118,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,18,15.694266800993208,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,18,21.55161260995087,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
