trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.739761130044,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.25521632490634,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.72327342345032,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.2319085246761,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.88280193227183,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,4,-84.28902712382526,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.018571094454266,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.521634892138486,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-201.89027351249752,"{0: 12, 1: 1, 2: 7, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-137.2214529929411,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.59893075774444,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.7231295741648,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.84138303602545,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.48507291238337,"{0: 14, 1: 7, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.41461449255368,"{0: 14, 1: 2, 2: 3, 3: 3, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-199.3378003155637,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-220.99141510462837,"{0: 9, 1: 2, 2: 9, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-199.8340409817894,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.70632591360754,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.04909913830764,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-160.86996424732777,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-216.6576272136387,"{0: 14, 1: 3, 2: 10, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-229.7657334593388,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-112.56007212125978,"{0: 19, 1: 2, 2: 6, 3: 3, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.8415632047298,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.44610306161333,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-57.40776547069041,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-161.41457645958084,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-46.188971123725054,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-190.36303914431215,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
